,Título,Número,A fecha de,Modelo de negocio,Distribuidor(es),Año de lanzamiento,Mes de lanzamiento
0,PUBG: Battlegrounds,1000 millones,02021-03 marzo de 2021,Gratuito,Krafton / Tencent,2017,diciembre
1,CrossFire,1000 millones,02020-02 febrero de 2020,Gratuito,Smilegate / Tencent,2007,mayo
2,Dungeon Fighter Online,700 millones,02020-05 mayo de 2020,Gratuito,Nexon / Tencent,2005,agosto
3,QQ Speed / GKART / Speed Drifters,700 millones,02020-01 enero de 2020,Gratuito,Tencent,2008,enero
4,Minecraft,600 millones,02020-11 noviembre de 2020,Pagar por jugar,Mojang Studios,2009,noviembre
5,Pac-Man Doodle,505 millones,02010-06 junio de 2010,Gratuito,Namco / Google,2010,abril
6,Among Us,500 millones,noviembre 2020,Pagar por jugar/Gratuito,Innersloth,2018,junio
7,Candy Crush Saga,500 millones,02014-06 junio de 2014,Pagar por jugar/gratuito,King,2012,abril
8,Tetris,500 millones,02016 2016,Pagar por jugar/Gratuito,Varios,1984,junio
9,Solitario Microsoft,400 millones,02015-07 julio de 2015,Gratuito,Microsoft,1990,
10,Crazyracing Kartrider,380 millones,marzo de 2020,Free-to-play,Nexon,2004,junio
11,Fortnite,350 millones,02020-04 abril de 2020,Gratuito,Epic Games,2017,septiembre
12,Fantasy Westward Journey,310 millones,02015-04 abril de 2015,Gratuito,NetEase,2001,diciembre
13,Audition Online,300 millones,02010 2010,Gratuito,T3 Entertainment,2004,
14,Animal Jam,6 millones,02020-06 junio de 2020,Gratuito,Wildworks,2010,septiembre
15,RuneScape,1 millones,02020-06 junio de 2020,Suscripción/Gratuito,Jagex,2001,enero
16,Rules of Survival,280 millones,02020-06 junio de 2020,Gratuito,NetEase,2017,noviembre
17,Roblox,202 millones,abril 2021,Gratuito,Roblox Corporation,2006,agosto
18,Dragon Nest,200 millones,02013-03 marzo de 2013,Gratuito,Nexon,2010,marzo
19,World of Tanks,160 millones,02020-04 abril de 2020,Gratuito,Wargaming,2010,agosto
20,Chess.com,150 millones,02023-10 octubre de 2023,Gratuito,,2007,mayo
21,The Legend of Mir 3,120 millones,02012-02 febrero de 2012,Suscripción/Gratuito,WeMade Entertainment,2004,octubre
22,League of Legends,101 millones,02018-08 agosto de 2018,Gratuito,Riot Games,2009,octubre
23,Call of Duty: Warzone,100 millones,02021-04 abril de 2021,Gratuito,Activision Blizzard,2020,marzo
24,World of Warcraft,100 millones,02014-01 enero de 2014,Suscripción/Pagar por jugar[nota 4]​,Blizzard Entertainment,2004,noviembre
25,Apex Legends,100 millones,02021-04 abril de 2021,Gratuito,Electronic Arts,2019,febrero
26,CityVille,100 millones,02011-10 octubre de 2011,Gratuito,Zynga,2010,diciembre
27,Happy Farm,100 millones,02013-08 agosto de 2013,Gratuito,5 minutes,2008,noviembre
28,MapleStory,100 millones,02018-04 abril de 2018,Gratuito,Nexon,2007,abril
29,Scions of Fate,100 millones,02018-04 abril de 2018,Gratuito,KRG Soft,2004,noviembre
30,The Sims Social,100 millones,02011-10 octubre de 2011,Gratuito,Electronic Arts,2011,agosto
31,Zhengtu,100 millones,02018-04 abril de 2018,Gratuito,Zhengtu Network,2007,
32,Microsoft Solitaire Collection,100 millones,02016-08 agosto de 2016,Gratuito,Microsoft,2015,julio
33,Hearthstone,100 millones,02018-11 noviembre de 2018,Gratuito,Blizzard Entertainment,2014,marzo
34,OGame,100 millones,02018 2018,Gratuito,Gameforge,2002,
35,FarmVille,83 millones,02010-03 marzo de 2010,Gratuito,Zynga,2009,junio
36,Westward Journey Online II,83 millones,02006-11 noviembre de 2006,Gratuito,NetEase,2001,
37,Ragnarok Online,80 millones,02018-04 abril de 2018,Suscripción[nota 5]​,Gravity,2002,agosto
38,Moshi Monsters,80 millones,02014-07 julio de 2014,Gratuito,Mind Candy,2008,abril
39,Yu-Gi-Oh! Duel Links,80 millones,02019-10 octubre de 2019,Gratuito,Konami,2016,noviembre
40,Dragon Oath,75 millones,02010-02 febrero de 2010,Gratuito,KRG Soft,2007,
41,Dofus,62 millones,02018-04 abril de 2018,Suscripción[nota 5]​,Ankama,2004,septiembre
42,Overwatch,60 millones,02021-04 abril de 2021,Pagar por jugar,Blizzard Entertainment,2016,mayo
43,Flyff,60 millones,02018-04 abril de 2018,Gratuito,Gala Lab,2004,agosto
44,Rocket League,58 millones,02019-06 junio de 2019,Gratuito,Psyonix,2015,julio
45,Mu Online,56 millones,02009 2009,Gratuito,Webzen,2003,octubre
46,Lineage,50 millones,02007-03 marzo de 2007,Suscripción,NCSoft,1998,septiembre
47,Perfect World,50 millones,02018-04 abril de 2018,Gratuito,Beijing Perfect World,2005,julio
48,Team Fortress 2,50 millones,02018-07 julio de 2018,Gratuito,Valve Corporation,2007,octubre
49,Tom Clancy's Rainbow Six: Siege,50 millones,02019-09 septiembre de 2019,Pagar por jugar,Ubisoft,2015,diciembre
50,Warframe,50 millones,02019-03 marzo de 2019,Gratuito,Digital Extremes,2013,marzo
51,Counter-Strike: Global Offensive,46 millones,02018-07 julio de 2018,Gratuito,Valve Corporation,2012,agosto
52,FarmVille 2,43 millones,02012-12 diciembre de 2012,Gratuito,Zynga,2012,septiembre
53,Dota 2,9 millones,02015-02 febrero de 2015,Gratuito,Valve Corporation,2013,julio
54,Drakensang Online,35 millones,02018-04 abril de 2018,Gratuito,Bigpoint,2011,agosto
55,Teamfight Tactics,33 millones,02019-09 septiembre de 2019,Gratuito,Riot Games,2019,junio
56,Grand Theft Auto Online,34 millones,02014-11 noviembre de 2014,Pagar por jugar,Rockstar Games,2013,octubre
57,Evony,33 millones,02016-10 octubre de 2016,Gratuito,Evony LLC,2009,abril
58,FIFA 18,"32,5 million​",02018-12 diciembre de 2018,Pagar por jugar,EA Sports,2017,septiembre
59,Pac-Man,30 millones,01982 1982,Pagar por jugar,Namco,1980,abril
60,Black Desert Online,30 millones,02020-01 enero de 2020,Pagar por jugar,Kakao Games,2015,julio
61,FIFA 17,30 millones,02018-12 diciembre de 2018,Pagar por jugar,EA Sports,2016,septiembre
62,FIFA 16,3 millones,02018-12 diciembre de 2018,Pagar por jugar,EA Sports,2015,septiembre
63,GetAmped,26 millones,02008-10 octubre de 2008,Gratuito,CyberStep,2002,abril
64,Metal Slug Defense,29 millones,02016-02 febrero de 2016,Gratuito,SNK,2014,abril
65,Unturned,27 millones,02018-07 julio de 2018,Gratuito,Smartly Dressed Games,2017,julio
66,TERA,26 millones,02017-05 mayo de 2017,Suscripción/Gratuito,Bluehole,2011,enero
67,Street Fighter II,25 millones,01994 1994,Pagar por jugar,Capcom,1991,febrero
68,Call of Duty: WWII,9 millones,02018-12 diciembre de 2018,Pagar por jugar,Activision,2017,noviembre
69,Left 4 Dead 2,23 millones,02018-07 julio de 2018,Pagar por jugar,Valve Corporation,2009,noviembre
70,DC Universe Online,20 millones,02015-05 mayo de 2015,Gratuito,Daybreak Game Company,2011,enero
71,Shadowverse,20 millones,02018-10 octubre de 2018,Gratuito,Cygames/NetEase,2016,junio
72,Blade & Soul,18 millones,02013-12 diciembre de 2013,Suscripción[nota 5]​,NCSoft,2012,junio
73,Final Fantasy XIV,18 millones,02019-12 diciembre de 2019,Suscripción,Square Enix,2013,agosto
74,Payday 2,18 millones,02018-07 julio de 2018,Pagar por jugar,Starbreeze Studios,2013,agosto
75,Farm Town,17 millones,02009-08 agosto de 2009,Gratuito,SlashKey,2009,febrero
76,The Last of Us Remastered,9 millones,02018-12 diciembre de 2018,Pagar por jugar,Sony,2014,julio
77,osu!,2 millones,02020-06 junio de 2020,Gratuito,ppy,2007,septiembre
78,Doom,15 millones,02006 2006,Shareware,id Software,1993,diciembre
79,For Honor,15 millones,02018-10 octubre de 2018,Gratuito,Ubisoft,2017,febrero
80,Trove,15 millones,02018-02 febrero de 2018,Gratuito,Trion Worlds,2015,julio
81,Puyopuyo!! Quest Arcade,15 millones,02016-07 julio de 2016,Gratuito,Sega,2013,noviembre
82,Lineage II,14 millones,02007-06 junio de 2007,Gratuito,NCSoft,2003,octubre
83,Paladins,14 millones,02018-07 julio de 2018,Gratuito,Hi-Rez Studios,2016,septiembre
84,Battlefield 4,9 millones,02018-12 diciembre de 2018,Pagar por jugar,Electronic Arts,2013,octubre
85,The Elder Scrolls Online,5 millones,02017-12 diciembre de 2017,Pagar por jugar,Bethesda Softworks,2014,abril
86,Call of Duty: Ghosts,6 millones,02018-12 diciembre de 2018,Pagar por jugar,Activision,2013,noviembre
87,FIFA 19,5 millones,02018-12 diciembre de 2018,Pagar por jugar,EA Sports,2018,septiembre
88,Guild Wars 2,11 millones,02018-09 septiembre de 2018,Gratuito,NCSoft,2012,agosto
89,Forza Horizon 3,10 millones,02018-09 septiembre de 2018,Pagar por jugar,Microsoft Studios,2016,septiembre
90,Star Wars: The Old Republic,10 millones,02018-04 abril de 2018,Suscripción,Electronic Arts,2011,diciembre
91,Free Realms,10 millones,02018-04 abril de 2018,Gratuito,Sony Online Entertainment,2009,abril
92,H1Z1,10 millones,02018-06 junio de 2018,Gratuito,Daybreak Game Company,2018,febrero
93,Robocraft,10 millones,02018-07 julio de 2018,Gratuito,Freejam Games,2017,agosto
94,Ark: Survival Evolved,10  millones,02017-11 noviembre de 2017,Pagar por jugar,Studio Wildcard,2017,agosto
